Provincia,Feminicidio,Homicidio de Mujeres,Circuntancia,Mes,Año
AZUA,0,1,RIÑA,ENERO,2017
DAJABON,0,1,TRATANDO DE ROBAR O ATRACAR,ENERO,2017
DISTRITO NACIONAL,0,1,RIÑA,ENERO,2017
HATO MAYOR,0,1,VIOLENCIA INTRAFAMILIAR,ENERO,2017
INDEPENDENCIA,0,1,RIÑA,ENERO,2017
LA ALTAGRACIA,0,1,RIÑA,ENERO,2017
LA ALTAGRACIA,0,1,TRATANDO DE ROBAR O ATRACAR,ENERO,2017
LA VEGA,1,0,FEMINICIDIO INTIMO,ENERO,2017
MONTECRISTI,1,0,FEMINICIDIO INTIMO,ENERO,2017
PUERTO PLATA,1,0,FEMINICIDIO INTIMO,ENERO,2017
SAN CRISTOBAL,1,0,FEMINICIDIO INTIMO,ENERO,2017
SAN JUAN,0,1,RIÑA,ENERO,2017
SANTIAGO,1,0,FEMINICIDIO INTIMO,ENERO,2017
SANTO DOMINGO,0,1,RIÑA,ENERO,2017
SANTO DOMINGO,0,1,RIÑA,ENERO,2017
SANTO DOMINGO,2,0,FEMINICIDIO INTIMO,ENERO,2017
VALVERDE,0,1,FEMINICIDIO INTIMO,ENERO,2017
AZUA,0,2,RIÑA,FEBRERO,2017
BARAHONA,0,1,TRATANDO DE ROBAR O ATRACAR,FEBRERO,2017
BARAHONA,1,0,FEMINICIDIO INTIMO,FEBRERO,2017
DISTRITO NACIONAL,2,0,FEMINICIDIO INTIMO,FEBRERO,2017
DUARTE,0,1,VICTIMA DE ROBO O ATRACO,FEBRERO,2017
LA ROMANA,1,0,FEMINICIDIO INTIMO,FEBRERO,2017
LA VEGA,0,1,VIOLACION SEXUAL,FEBRERO,2017
LA VEGA,0,1,ACCIDENTAL,FEBRERO,2017
LA VEGA,0,1,VICTIMA DE ROBO O ATRACO,FEBRERO,2017
MARIA TRINIDAD SANCHEZ,0,1,DESCONOCIDA,FEBRERO,2017
PERAVIA,1,0,FEMINICIDIO INTIMO,FEBRERO,2017
